range_state,num_signals,fill_rate,avg_improvement,median_improvement
1,1188,0.9974747474747475,-0.00029461279461281373,0.0
2,2061,0.8854924793789423,-0.014890829694323777,0.0
3,6231,0.7191462044615632,-0.09693147167388849,0.11000000000001364
