ticks_away,num_signals,fill_rate,avg_improvement,median_improvement
0,2758,1.0,0.0,0.0
1,131,0.44274809160305345,-0.06030534351145411,0.0
2,155,0.5225806451612903,-0.06541935483871289,0.01999999999998181
3,66,0.7727272727272727,-0.0681818181818156,0.029999999999972715
4,273,0.5897435897435898,-0.0823809523809545,0.03999999999996362
5,628,0.6926751592356688,-0.12316878980891732,0.05000000000001137
7,46,0.8043478260869565,-0.03152173913042959,0.06999999999999318
9,2,0.5,-0.045000000000015916,-0.045000000000015916
10,352,0.7045454545454546,-0.08471590909090955,0.0999999999999659
11,1018,0.7259332023575639,-0.13635559921414656,0.11000000000001364
12,111,0.6756756756756757,-0.10981981981981673,0.12000000000000455
13,33,0.696969696969697,-0.0609090909090958,0.12999999999999545
14,800,0.7075,-0.09094999999999871,0.13999999999998636
15,411,0.7664233576642335,-0.027834549878346045,0.14999999999997726
16,115,0.7130434782608696,-0.09904347826086994,0.15999999999996817
20,1194,0.7370184254606366,-0.0689530988274701,0.19999999999998863
21,1238,0.7140549273021002,-0.10118739903069437,0.20999999999997954
22,149,0.6510067114093959,-0.16832214765100623,0.21999999999997044
