trend_state,num_signals,fill_rate,avg_improvement,median_improvement
1,6727,0.8161141667905456,0.009707150289872351,0.1999999999998181
2,6891,0.9079959367290669,8.707009142543056e-05,0.0
3,6018,0.8123961448986374,0.010368893320037363,0.1999999999998181
