signal_direction,num_signals,fill_rate,avg_improvement,median_improvement,positive_improvement_rate
buy,13910,0.8414809489575845,0.003493889288280677,0.10000000000013642,0.7110711718188354
sell,5726,0.8611596227733147,0.013918966119452425,0.10000000000013642,0.6762137617883339
