datetime,price,signal,signal_direction,vol_state,range_state,trend_state,open,limit_price,ticks_away,fill_probability,tau,tick_size,contract,vol_state_label,range_state_label,trend_state_label,tick_diff_check
2024-04-10 21:20:00,2358.3,2,buy,1,3,3,2358.2,,,,5,0.1,GCM24,low,high,up,
2024-04-10 21:25:00,2356.9,2,buy,1,3,1,2357.0,,,,5,0.1,GCM24,low,high,down,
2024-04-10 21:50:00,2358.6,2,buy,1,3,3,2358.2,,,,5,0.1,GCM24,low,high,up,
2024-04-10 21:55:00,2358.6,2,buy,1,3,2,2358.5,,,,5,0.1,GCM24,low,high,flat,
2024-04-24 00:30:00,2340.6,3,buy,1,3,2,2340.6,,,,5,0.1,GCM24,low,high,flat,
2024-05-29 03:25:00,2354.7,1,buy,1,3,1,2377.1,,,,5,0.1,GCQ24,low,high,down,
