signal_direction,num_signals,fill_rate,avg_improvement,median_improvement,positive_improvement_rate
buy,1834,0.9318429661941112,-0.00041712104689217906,0.0,0.33097055616139587
sell,10783,0.9343410924603542,-0.00047435778540313707,0.0,0.3172586478716498
