vol_state,num_signals,fill_rate,avg_improvement,median_improvement
1,4108,0.7643622200584226,-0.13832765335929892,1.0
2,7295,0.7660041124057574,-0.1432145305003427,1.25
3,7458,0.7500670421024404,-0.0841713596138375,2.25
