range_state,num_signals,fill_rate,avg_improvement,median_improvement
1,5423,0.8036142356629172,-0.01820947814862622,0.5
2,5893,0.7527575089088749,-0.043017138978449006,1.75
3,7545,0.7326706428098079,-0.2502982107355865,4.0
