signal_direction,num_signals,fill_rate,avg_improvement,median_improvement,positive_improvement_rate
buy,17730,0.7586576424139876,-0.10047941342357586,1.75,0.7701635645798083
sell,1131,0.7701149425287356,-0.40605658709106984,3.0,0.7798408488063661
