signal_direction,num_signals,fill_rate,avg_improvement,median_improvement,positive_improvement_rate
buy,20449,0.8623404567460512,0.020514450584380655,0.5,0.6497628245879994
sell,1206,0.900497512437811,0.050165837479270316,0.5,0.5174129353233831
